EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-08-2015
THESE DATA CAN BE USED FREELY FOR NON-COMMERCIAL RESEARCH PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 100522) of station De Bilt, NETHERLANDS (STAID:    162)

 STAID,    SOUID,    DATE,   TX, Q_TX
   162,100522,19351120,   87,    0
   162,100522,19351121,   63,    0
   162,100522,19351122,   51,    0
   162,100522,19351123,   57,    0
   162,100522,19351124,   79,    0
   162,100522,19351125,   93,    0
   162,100522,19351126,   49,    0
   162,100522,19351127,   87,    0
   162,100522,19351128,  114,    0
   162,100522,19351129,   99,    0
   162,100522,19351130,   76,    0
   162,100522,19351201,   94,    0
   162,100522,19351202,   67,    0
   162,100522,19351203,   77,    0
   162,100522,19351204,   57,    0
   162,100522,19351205,   46,    0
   162,100522,19351206,   38,    0
   162,100522,19351207,   29,    0
   162,100522,19351208,   46,    0
   162,100522,19351209,   35,    0
   162,100522,19351210,   42,    0
   162,100522,19351211,   48,    0
   162,100522,19351212,   23,    0
   162,100522,19351213,    7,    0
   162,100522,19351214,  -19,    0
   162,100522,19351215,    6,    0
   162,100522,19351216,   27,    0
   162,100522,19351217,   28,    0
   162,100522,19351218,   39,    0
   162,100522,19351219,    8,    0
   162,100522,19351220,   15,    0
   162,100522,19351221,   38,    0
   162,100522,19351222,   38,    0
   162,100522,19351223,   21,    0
   162,100522,19351224,   23,    0
   162,100522,19351225,   58,    0
   162,100522,19351226,   99,    0
   162,100522,19351227,  109,    0
   162,100522,19351228,  109,    0
   162,100522,19351229,   95,    0
   162,100522,19351230,   84,    0
   162,100522,19351231,   91,    0
   162,100522,19360101,   91,    0
   162,100522,19360102,   89,    0
   162,100522,19360103,   70,    0
   162,100522,19360104,   69,    0
   162,100522,19360105,   58,    0
   162,100522,19360106,   88,    0
   162,100522,19360107,   79,    0
   162,100522,19360108,   80,    0
   162,100522,19360109,  128,    0
   162,100522,19360110,  127,    0
   162,100522,19360111,   96,    0
   162,100522,19360112,   66,    0
   162,100522,19360113,   45,    0
   162,100522,19360114,   57,    0
   162,100522,19360115,   37,    0
   162,100522,19360116,   12,    0
   162,100522,19360117,   26,    0
   162,100522,19360118,    9,    0
   162,100522,19360119,    6,    0
   162,100522,19360120,  102,    0
   162,100522,19360121,   58,    0
   162,100522,19360122,   48,    0
   162,100522,19360123,   54,    0
   162,100522,19360124,   58,    0
   162,100522,19360125,   76,    0
   162,100522,19360126,  109,    0
   162,100522,19360127,   72,    0
   162,100522,19360128,  100,    0
   162,100522,19360129,   83,    0
   162,100522,19360130,   69,    0
   162,100522,19360131,   92,    0
   162,100522,19360201,   87,    0
   162,100522,19360202,   62,    0
   162,100522,19360203,   57,    0
   162,100522,19360204,   53,    0
   162,100522,19360205,   25,    0
   162,100522,19360206,   50,    0
   162,100522,19360207,   25,    0
   162,100522,19360208,   36,    0
   162,100522,19360209,   47,    0
   162,100522,19360210,   -6,    0
   162,100522,19360211,   16,    0
   162,100522,19360212,   52,    0
   162,100522,19360213,   40,    0
   162,100522,19360214,   48,    0
   162,100522,19360215,   41,    0
   162,100522,19360216,   52,    0
   162,100522,19360217,   45,    0
   162,100522,19360218,   98,    0
   162,100522,19360219,  129,    0
   162,100522,19360220,   93,    0
   162,100522,19360221,   77,    0
   162,100522,19360222,  103,    0
   162,100522,19360223,  102,    0
   162,100522,19360224,   64,    0
   162,100522,19360225,   31,    0
   162,100522,19360226,   36,    0
   162,100522,19360227,   53,    0
   162,100522,19360228,   85,    0
   162,100522,19360229,   59,    0
   162,100522,19360301,   47,    0
   162,100522,19360302,   70,    0
   162,100522,19360303,   57,    0
   162,100522,19360304,   57,    0
   162,100522,19360305,   67,    0
   162,100522,19360306,   83,    0
   162,100522,19360307,   87,    0
   162,100522,19360308,  104,    0
   162,100522,19360309,  100,    0
   162,100522,19360310,  170,    0
   162,100522,19360311,   60,    0
   162,100522,19360312,   24,    0
   162,100522,19360313,   49,    0
   162,100522,19360314,   33,    0
   162,100522,19360315,   42,    0
   162,100522,19360316,   77,    0
   162,100522,19360317,   72,    0
   162,100522,19360318,  128,    0
   162,100522,19360319,  153,    0
   162,100522,19360320,  180,    0
   162,100522,19360321,  180,    0
   162,100522,19360322,  190,    0
   162,100522,19360323,  190,    0
   162,100522,19360324,  165,    0
   162,100522,19360325,  171,    0
   162,100522,19360326,  166,    0
   162,100522,19360327,  147,    0
   162,100522,19360328,  180,    0
   162,100522,19360329,  166,    0
   162,100522,19360330,  153,    0
   162,100522,19360331,  135,    0
   162,100522,19360401,  142,    0
   162,100522,19360402,  147,    0
   162,100522,19360403,   82,    0
   162,100522,19360404,   95,    0
   162,100522,19360405,   81,    0
   162,100522,19360406,   68,    0
   162,100522,19360407,   93,    0
   162,100522,19360408,  109,    0
   162,100522,19360409,  116,    0
   162,100522,19360410,  110,    0
   162,100522,19360411,   98,    0
   162,100522,19360412,   76,    0
   162,100522,19360413,   93,    0
   162,100522,19360414,  106,    0
   162,100522,19360415,  120,    0
   162,100522,19360416,   92,    0
   162,100522,19360417,   77,    0
   162,100522,19360418,   90,    0
   162,100522,19360419,  105,    0
   162,100522,19360420,  101,    0
   162,100522,19360421,  104,    0
   162,100522,19360422,   78,    0
   162,100522,19360423,   99,    0
   162,100522,19360424,   89,    0
   162,100522,19360425,  138,    0
   162,100522,19360426,  125,    0
   162,100522,19360427,  140,    0
   162,100522,19360428,  157,    0
   162,100522,19360429,  155,    0
   162,100522,19360430,  129,    0
   162,100522,19360501,  128,    0
   162,100522,19360502,  139,    0
   162,100522,19360503,  176,    0
   162,100522,19360504,  186,    0
   162,100522,19360505,  224,    0
   162,100522,19360506,  253,    0
   162,100522,19360507,  183,    0
   162,100522,19360508,  238,    0
   162,100522,19360509,  203,    0
   162,100522,19360510,  148,    0
   162,100522,19360511,  163,    0
   162,100522,19360512,  177,    0
   162,100522,19360513,  204,    0
   162,100522,19360514,  195,    0
   162,100522,19360515,  230,    0
   162,100522,19360516,  225,    0
   162,100522,19360517,  235,    0
   162,100522,19360518,  241,    0
   162,100522,19360519,  235,    0
   162,100522,19360520,  198,    0
   162,100522,19360521,  131,    0
   162,100522,19360522,  158,    0
   162,100522,19360523,  172,    0
   162,100522,19360524,  156,    0
   162,100522,19360525,  220,    0
   162,100522,19360526,  214,    0
   162,100522,19360527,  199,    0
   162,100522,19360528,  131,    0
   162,100522,19360529,  146,    0
   162,100522,19360530,  150,    0
   162,100522,19360531,  116,    0
   162,100522,19360601,  147,    0
   162,100522,19360602,  175,    0
   162,100522,19360603,  178,    0
   162,100522,19360604,  132,    0
   162,100522,19360605,  223,    0
   162,100522,19360606,  215,    0
   162,100522,19360607,  157,    0
   162,100522,19360608,  201,    0
   162,100522,19360609,  210,    0
   162,100522,19360610,  211,    0
   162,100522,19360611,  184,    0
   162,100522,19360612,  208,    0
   162,100522,19360613,  251,    0
   162,100522,19360614,  171,    0
   162,100522,19360615,  178,    0
   162,100522,19360616,  217,    0
   162,100522,19360617,  279,    0
   162,100522,19360618,  307,    0
   162,100522,19360619,  311,    0
   162,100522,19360620,  321,    0
   162,100522,19360621,  316,    0
   162,100522,19360622,  259,    0
   162,100522,19360623,  272,    0
   162,100522,19360624,  265,    0
   162,100522,19360625,  221,    0
   162,100522,19360626,  181,    0
   162,100522,19360627,  198,    0
   162,100522,19360628,  244,    0
   162,100522,19360629,  270,    0
   162,100522,19360630,  243,    0
   162,100522,19360701,  246,    0
   162,100522,19360702,  232,    0
   162,100522,19360703,  201,    0
   162,100522,19360704,  220,    0
   162,100522,19360705,  228,    0
   162,100522,19360706,  262,    0
   162,100522,19360707,  236,    0
   162,100522,19360708,  213,    0
   162,100522,19360709,  201,    0
   162,100522,19360710,  191,    0
   162,100522,19360711,  179,    0
   162,100522,19360712,  193,    0
   162,100522,19360713,  207,    0
   162,100522,19360714,  201,    0
   162,100522,19360715,  191,    0
   162,100522,19360716,  202,    0
   162,100522,19360717,  250,    0
   162,100522,19360718,  231,    0
   162,100522,19360719,  194,    0
   162,100522,19360720,  207,    0
   162,100522,19360721,  185,    0
   162,100522,19360722,  212,    0
   162,100522,19360723,  208,    0
   162,100522,19360724,  212,    0
   162,100522,19360725,  213,    0
   162,100522,19360726,  203,    0
   162,100522,19360727,  214,    0
   162,100522,19360728,  187,    0
   162,100522,19360729,  198,    0
   162,100522,19360730,  202,    0
   162,100522,19360731,  166,    0
   162,100522,19360801,  202,    0
   162,100522,19360802,  201,    0
   162,100522,19360803,  191,    0
   162,100522,19360804,  191,    0
   162,100522,19360805,  182,    0
   162,100522,19360806,  180,    0
   162,100522,19360807,  228,    0
   162,100522,19360808,  218,    0
   162,100522,19360809,  234,    0
   162,100522,19360810,  257,    0
   162,100522,19360811,  255,    0
   162,100522,19360812,  204,    0
   162,100522,19360813,  200,    0
   162,100522,19360814,  203,    0
   162,100522,19360815,  249,    0
   162,100522,19360816,  276,    0
   162,100522,19360817,  273,    0
   162,100522,19360818,  245,    0
   162,100522,19360819,  202,    0
   162,100522,19360820,  216,    0
   162,100522,19360821,  208,    0
   162,100522,19360822,  210,    0
   162,100522,19360823,  209,    0
